Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Debye_huckel Total   
0        1.00     10.06    80.42    -357.54  -74.08   -363.62  0.00     0.00     0.00     -23.45   0.00     0.00     0.74     -737.53 
1        0.96     10.09    4.42     -441.56  -87.60   -363.93  0.00     0.00     0.00     -24.63   -0.00    0.00     0.98     -912.33 
2        0.60     10.42    117.91   -444.46  -94.03   -353.00  0.00     0.00     0.00     -21.25   0.00     0.00     0.97     -793.86 
3        0.55     10.75    120.61   -453.76  -90.19   -351.72  0.00     0.00     0.00     -18.94   -0.00    0.00     1.10     -792.91 
4        0.58     10.47    132.19   -444.46  -90.36   -355.07  0.00     0.00     0.00     -20.11   -0.00    0.00     0.95     -776.86 
5        0.60     10.54    133.96   -458.87  -88.15   -349.10  0.00     0.00     0.00     -21.15   -0.00    0.00     0.76     -782.55 
6        0.71     10.23    141.59   -455.83  -86.89   -350.71  0.00     0.00     0.00     -17.59   0.00     0.00     1.19     -768.24 
7        0.72     10.39    124.66   -459.58  -89.54   -353.69  0.00     0.00     0.00     -21.88   -0.00    0.00     0.98     -799.04 
8        0.63     10.40    120.77   -456.04  -92.49   -350.72  0.00     0.00     0.00     -20.41   0.00     0.00     0.87     -798.02 
9        0.56     11.09    122.72   -453.77  -88.51   -349.56  0.00     0.00     0.00     -20.09   -0.00    0.00     1.30     -787.90 
10       0.70     10.66    106.97   -458.09  -93.97   -352.56  0.00     0.00     0.00     -20.32   -0.00    0.00     1.56     -816.42 
11       0.70     10.01    130.24   -456.67  -94.24   -351.52  0.00     0.00     0.00     -20.87   -0.00    0.00     1.11     -791.94 
12       0.65     10.51    137.68   -461.05  -94.54   -348.72  0.00     0.00     0.00     -19.46   -0.00    0.00     0.85     -785.24 
13       0.67     10.28    112.18   -455.01  -83.51   -353.56  0.00     0.00     0.00     -20.96   0.00     0.00     0.89     -799.96 
14       0.69     10.21    125.43   -448.87  -86.33   -351.39  0.00     0.00     0.00     -21.62   -0.00    0.00     0.90     -781.87 
15       0.57     10.33    128.41   -455.82  -88.19   -352.11  0.00     0.00     0.00     -19.98   -0.00    0.00     1.09     -786.59 
16       0.60     10.46    120.26   -453.09  -90.50   -354.33  0.00     0.00     0.00     -22.09   0.00     0.00     1.09     -798.66 
17       0.55     10.40    135.56   -457.26  -96.47   -349.08  0.00     0.00     0.00     -18.02   -0.00    0.00     0.87     -784.40 
18       0.68     10.42    136.95   -454.20  -93.17   -351.98  0.00     0.00     0.00     -20.38   -0.00    0.00     1.34     -781.44 
19       0.67     10.56    131.78   -460.16  -80.73   -351.39  0.00     0.00     0.00     -21.14   -0.00    0.00     1.33     -780.32 
20       0.62     10.11    133.25   -456.44  -93.17   -348.83  0.00     0.00     0.00     -21.05   -0.00    0.00     1.27     -784.97 
